"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","21","31","56","1","0"
"Test Automation Framework","Allure Reporting","Test with Links","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Performance Test","0","0","1","0","0"
"Automation Framework","Regression Testing","Performance","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Fixtures","0","0","1","0","0"
"Automation Framework","Regression Testing","Data Factory","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Retry","0","0","0","1","0"
"Automation Framework","Regression Testing","Helper Utilities","0","0","1","0","0"
"Automation Framework","Regression Testing","Settings","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Dynamic Title","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Environment Info","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Parameters","0","0","5","0","0"
"Automation Framework","Regression Testing","Logger","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Basic Test Reporting","0","0","1","0","0"
"Automation Framework","Regression Testing","API Client","0","0","2","0","0"
"Test Automation Framework","Allure Reporting","Test with Categories","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Custom Markers","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test Suite Organization","0","0","2","0","0"
"Test Automation Framework","Allure Reporting","Test with Steps","0","0","1","0","0"
"Automation Framework","Regression Testing","Base Page","0","0","1","0","0"
"Automation Framework","Regression Testing","Error Handling","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Attachments","0","0","1","0","0"
"Test Automation Framework","Allure Reporting","Test with Screenshots","0","0","1","0","0"
"Automation Framework","Regression Testing","Integration","0","0","1","0","0"
